"results.Individual_1.simulation.ID","results.Individual_1.simulation.time","results.Individual_1.simulation.CPlas","results.Individual_1.simulation.Bal","results.Individual_1.simulation.Aurine","results.Individual_1.simulation.Curine","results.Individual_1.conf_intervals.time","results.Individual_1.conf_intervals.Curine_mean","results.Individual_1.conf_intervals.Curine_lower","results.Individual_1.conf_intervals.Curine_upper","results.Individual_2.simulation.ID","results.Individual_2.simulation.time","results.Individual_2.simulation.CPlas","results.Individual_2.simulation.Bal","results.Individual_2.simulation.Aurine","results.Individual_2.simulation.Curine","results.Individual_2.conf_intervals.time","results.Individual_2.conf_intervals.Curine_mean","results.Individual_2.conf_intervals.Curine_lower","results.Individual_2.conf_intervals.Curine_upper","results.Individual_3.simulation.ID","results.Individual_3.simulation.time","results.Individual_3.simulation.CPlas","results.Individual_3.simulation.Bal","results.Individual_3.simulation.Aurine","results.Individual_3.simulation.Curine","results.Individual_3.conf_intervals.time","results.Individual_3.conf_intervals.Curine_mean","results.Individual_3.conf_intervals.Curine_lower","results.Individual_3.conf_intervals.Curine_upper","summary.Individual_1.GTDOSE","summary.Individual_1.dose","summary.Individual_1.weight","summary.Individual_2.GTDOSE","summary.Individual_2.dose","summary.Individual_2.weight","summary.Individual_3.GTDOSE","summary.Individual_3.dose","summary.Individual_3.weight"
1,269500,7.07558013300987e-09,3.22668464719552,4.18615693815845e-05,2.79077129210563e-05,269500,2.79486586554695e-05,2.12680816905764e-05,3.6594315749372e-05,2,269500,6.45545342952249e-09,3.01157223335786,3.90708817478696e-05,2.60472544985797e-05,269500,2.58094684766613e-05,2.01001776307639e-05,3.17449395411921e-05,3,269500,1.05895992061054e-09,0.488291825660487,6.33489927325743e-06,4.22326618217162e-06,269500,4.20669575054871e-06,3.34235504018117e-06,5.33794286559999e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,270000,2.74322428278271e-09,3.2327185256772,4.19384617383856e-05,2.7958974492257e-05,270000,2.7999971774911e-05,2.13070717554536e-05,3.66616040080188e-05,2,270000,2.39767586549905e-09,3.01720385308134,3.91426559920148e-05,2.60951039946765e-05,270000,2.58568664564227e-05,2.0136977108942e-05,3.18033006320855e-05,3,270000,3.22144774853168e-10,0.489204928072236,6.34656757647951e-06,4.23104505098634e-06,270000,4.21443407026558e-06,3.34848958669311e-06,5.3477726456093e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,270500,3.87306488086642e-09,3.2384650854497,4.20161395950351e-05,2.80107597300234e-05,270500,2.80520885120085e-05,2.13466339912823e-05,3.67300938528127e-05,2,270500,3.50931050863177e-09,3.02256730867872,3.92151242292396e-05,2.61434161528264e-05,270500,2.59050042627076e-05,2.01744791954487e-05,3.18626760720533e-05,3,270500,3.9892423762139e-10,0.490074550755813,6.35837337091393e-06,4.23891558060929e-06,270500,4.22228043883119e-06,3.35473029359477e-06,5.35773239008623e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,271000,4.1096999227835e-09,3.24449896393393,4.20943017908534e-05,2.80628678605689e-05,271000,2.81041299316187e-05,2.13863463402637e-05,3.67980556272721e-05,2,271000,3.8139091554454e-09,3.02819892840806,3.92880305603977e-05,2.61920203735985e-05,271000,2.59530345802496e-05,2.02119662396171e-05,3.19215113208248e-05,3,271000,5.15113961961751e-10,0.490987653168177,6.37015786389255e-06,4.2467719092617e-06,271000,4.23012209089486e-06,3.36097109337558e-06,5.36766334929494e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,271500,4.22039846146048e-09,3.25053284241807,4.2172528198821e-05,2.8115018799214e-05,271500,2.81562048891353e-05,2.14259698212317e-05,3.6866049042884e-05,2,271500,3.8951983201476e-09,3.03383054813594,3.93610537998992e-05,2.62407025332661e-05,271500,2.60011194060315e-05,2.02495165943027e-05,3.19806312676274e-05,3,271500,6.13351796531606e-10,0.491900755579534,6.38195220341117e-06,4.25463480227411e-06,271500,4.23794276440158e-06,3.3672053155436e-06,5.37759222810952e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,272000,5.43689441122677e-09,3.2565667208902,4.22501609702882e-05,2.81667739801922e-05,272000,2.82080857610559e-05,2.14655306742005e-05,3.6934102610562e-05,2,272000,4.99618892222384e-09,3.0394621678456,3.94335295276653e-05,2.62890196851102e-05,272000,2.60490237377778e-05,2.02867983954007e-05,3.20396446026847e-05,3,272000,8.50545378772787e-10,0.492813857990584,6.39367174902638e-06,4.26244783268425e-06,272000,4.24573364702322e-06,3.37337456699525e-06,5.38747513263649e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,272500,7.07559000450206e-09,3.26260059936474,4.23275693160916e-05,2.8218379544061e-05,272500,2.82597852394956e-05,2.15048358831034e-05,3.70016844484266e-05,2,272500,6.45543848073909e-09,3.04509378755788,3.95058145356224e-05,2.63372096904149e-05,272500,2.60967825342629e-05,2.03239320002827e-05,3.20983256272237e-05,3,272500,1.05896438942146e-09,0.493726960403428,6.40541867318862e-06,4.27027911545908e-06,272500,4.25352454823167e-06,3.37956208229404e-06,5.39736463359569e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,273000,2.74321631472728e-09,3.26863447784617,4.24044616967808e-05,2.82696411311872e-05,273000,2.83110992627513e-05,2.15438258804796e-05,3.70689726819298e-05,2,273000,2.39769634503335e-09,3.0507254072802,3.95775887807032e-05,2.63850591871355e-05,273000,2.61441818252211e-05,2.03607314787637e-05,3.21566868139819e-05,3,273000,3.2215793753724e-10,0.494640062814108,6.41708694730272e-06,4.27805796486848e-06,273000,4.26126286501285e-06,3.38569664005869e-06,5.40719441519402e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,273500,3.87305035503404e-09,3.2743810376171,4.2482139536263e-05,2.83214263575087e-05,273500,2.83632138721293e-05,2.15833880970122e-05,3.71374625753726e-05,2,273500,3.50929663891811e-09,3.05608886288225,3.96500572123644e-05,2.64333714749096e-05,273500,2.61923165206054e-05,2.03982336241958e-05,3.2216062338907e-05,3,273500,3.98929216651609e-10,0.495509685497611,6.42889274863335e-06,4.2859284990889e-06,273500,4.26910923429505e-06,3.39193734301499e-06,5.41715416321059e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
1,274000,4.10968948133214e-09,3.28041491609866,4.25603016773218e-05,2.83735344515478e-05,274000,2.84152552707373e-05,2.16231003927917e-05,3.72054243306084e-05,2,274000,3.81390034059986e-09,3.06172048260558,3.97229634211872e-05,2.64819756141248e-05,274000,2.62403470368539e-05,2.04357206568308e-05,3.2274897586589e-05,3,274000,5.15117267441552e-10,0.496422787909299,6.44067722838826e-06,4.29378481892551e-06,274000,4.27695088866732e-06,3.39817813260064e-06,5.42708511457878e-06,18250,4.104553e-06,70,18250,3.830916e-06,70,18250,6.21139e-07,70
