"X1.simulation.time","X1.simulation.CL","X1.simulation.CK","X1.simulation.CBr","X1.simulation.CS","X1.simulation.Clu","X1.conf_intervals.time","X1.conf_intervals.CL_mean","X1.conf_intervals.CL_lower","X1.conf_intervals.CL_upper"
251,0.00377619668446779,6.35101197661677e-06,1.09908492398476e-05,0.000948022931126017,8.31030566288592e-05,251,0.0037727894124583,0.00371301983447674,0.00382381889905129
252,0.0037762589074111,6.34553276050813e-06,1.1073330047286e-05,0.000948044482036562,8.30968056543279e-05,252,0.0037730615167098,0.00371313233526622,0.00382388715487452
253,0.00377631635022344,6.3404744805275e-06,1.11558750045302e-05,0.000948064377357128,8.30910349086426e-05,253,0.00377316217109076,0.00371319794126623,0.00382394969118121
254,0.00377637379303578,6.33541620054688e-06,1.12384199617743e-05,0.000948084272677694,8.30852641629574e-05,254,0.00377322323577714,0.00371326354726625,0.00382400890292377
255,0.00377643123584812,6.33035792056625e-06,1.13209649190185e-05,0.00094810416799826,8.30794934172721e-05,255,0.00377327970491094,0.00371332915326627,0.00382406811466634
256,0.00377648867866046,6.32529964058562e-06,1.14035098762626e-05,0.000948124063318826,8.30737226715868e-05,256,0.00377333450673245,0.00371339475926629,0.0038241273264089
257,0.0037765461214728,6.320241360605e-06,1.14860548335068e-05,0.000948143958639392,8.30679519259015e-05,257,0.00377338604039415,0.00371346036526631,0.00382418649488173
258,0.00377660356428514,6.31518308062437e-06,1.15685997907509e-05,0.000948163853959958,8.30621811802162e-05,258,0.00377342718735228,0.00371352597126632,0.00382418749779576
259,0.0037766134742796,6.31431083552164e-06,1.16504837979305e-05,0.000948167286385763,8.30611862267378e-05,259,0.00377345115915137,0.00371353877408898,0.0038241885007098
260,0.00377661393623737,6.31427064315357e-06,1.17322364289212e-05,0.000948167446503284,8.3061140551295e-05,260,0.003773461272532,0.00371353932266222,0.00382418950362384
261,0.00377661439819514,6.31423045078551e-06,1.18139890599118e-05,0.000948167606620805,8.30610948758522e-05,261,0.00377346535386748,0.00371353987123546,0.003824190321841
262,0.00377661486015292,6.31419025841744e-06,1.18957416909025e-05,0.000948167766738326,8.30610492004094e-05,262,0.00377346680774744,0.0037135404198087,0.00382419078742992
263,0.00377661532211069,6.31415006604938e-06,1.19774943218932e-05,0.000948167926855847,8.30610035249667e-05,263,0.00377346754638814,0.00371354096838194,0.00382419125301883
264,0.00414025214770483,6.31410987368131e-06,1.20592469528839e-05,0.000948168086973368,8.30609578495239e-05,264,0.00413710442361641,0.00407717788059155,0.0041878280822441
265,0.00404852206310799,1.31842861193453e-05,1.31227361433946e-05,0.00100962103457344,9.77958206798243e-05,265,0.00404583492572129,0.00397069774251288,0.00411283279725295
266,0.00408906995185584,9.60804590888198e-06,1.26597279954155e-05,0.00102367053016651,9.37151405335473e-05,266,0.00408442250166949,0.00401189374947475,0.00414797462255955
267,0.00410513486978773,8.19222238704848e-06,1.25313561271882e-05,0.00102923573847064,9.20997310994551e-05,267,0.00410152508939166,0.00403376542693064,0.00416113014178644
268,0.00411412857687326,7.40013632017033e-06,1.2499576880336e-05,0.00103235075463669,9.11960471370238e-05,268,0.00411012773221267,0.00404407599430988,0.00416757545409707
269,0.00411489738446229,7.33242642254803e-06,1.25798767972944e-05,0.00103261702320736,9.11187965495191e-05,269,0.00411160101647181,0.00404559909324626,0.00416853019845681
270,0.00411566619205133,7.26471652492573e-06,1.26601767142528e-05,0.00103288329177804,9.10415459620143e-05,270,0.00411232143131027,0.00404646466717458,0.004168861490978
271,0.00411643499964037,7.19700662730344e-06,1.27404766312112e-05,0.00103314956034871,9.09642953745096e-05,271,0.00411304170888396,0.0040473302411029,0.0041691927834992
272,0.0041172038072294,7.12929672968114e-06,1.28207765481696e-05,0.00103341582891938,9.08870447870048e-05,272,0.00411375957620595,0.00404809186915562,0.00416957576854524
